rank,team,played,won,drawn,lost,goals_for,goals_against,points,goal_difference,average_corners,average_possession,expected_goals_for,expected_goals_against,momentum,expected_goal_difference
1,arsenal,31,21,7,3,61,22,70,39,5.84,56.68,53.16,22.83,5.04,30.33
2,manchester_city,30,18,7,5,60,28,61,32,5.67,59.97,56.13,35.07,4.55,21.05
3,manchester_united,29,14,9,6,51,40,51,11,4.41,53.45,51.37,36.3,5.48,15.07
4,aston_villa,29,15,6,8,39,34,51,5,5.31,53.62,36.51,42.96,4.84,-6.45
5,chelsea,30,13,9,8,53,35,48,18,6.13,58.93,58.95,40.64,4.54,18.31
6,liverpool,29,14,6,9,48,39,48,9,6.0,60.21,48.77,34.2,4.15,14.57
7,brentford,29,13,5,11,44,40,44,4,5.0,47.24,46.2,40.55,5.04,5.65
8,everton,30,12,7,11,34,35,43,-1,4.4,43.77,36.17,44.17,5.2,-8.0
9,newcastle_united,30,12,6,12,43,43,42,0,6.5,52.5,47.06,38.27,5.88,8.79
10,bournemouth,30,9,14,7,44,46,41,-2,5.7,50.23,48.48,45.21,5.15,3.28
11,brighton_&_hove_albion,30,10,10,10,39,36,40,3,4.77,52.97,43.84,40.45,5.29,3.39
12,fulham,29,12,4,13,40,43,40,-3,4.69,51.62,36.13,41.99,4.4,-5.86
13,sunderland,30,10,10,10,30,35,40,-5,3.53,43.73,28.39,44.15,4.2,-15.76
14,crystal_palace,29,10,8,11,33,35,38,-2,4.14,45.45,45.38,39.34,6.59,6.04
15,leeds_united,29,7,10,12,37,48,31,-11,4.52,45.59,43.73,43.82,4.66,-0.09
16,tottenham_hotspur,29,7,8,14,39,46,29,-7,4.97,50.03,30.22,44.14,5.12,-13.92
17,west_ham_united,30,7,8,15,36,55,29,-19,5.0,42.2,36.77,49.28,5.12,-12.51
18,nottingham_forest,29,7,7,15,28,43,28,-15,5.45,47.69,33.33,44.6,4.66,-11.27
19,burnley,30,4,8,18,32,58,20,-26,3.5,41.1,26.02,59.78,5.05,-33.76
20,wolverhampton,30,3,7,20,22,52,16,-30,3.13,42.97,27.16,46.01,5.06,-18.84
