rank,team,played,won,drawn,lost,goals_for,goals_against,points,goal_difference,average_corners,average_possession,expected_goals_for,expected_goals_against,momentum,expected_goal_difference
1,paris_saint-germain,24,18,3,3,53,19,57,34,3.58,66.38,50.8,22.44,4.53,28.36
2,rc_lens,24,17,2,5,45,21,53,24,2.79,48.67,47.44,32.3,5.66,15.14
3,olympique_lyonnais,23,14,3,6,37,23,45,14,3.0,54.0,37.18,28.41,4.63,8.77
4,olympique_de_marseille,23,12,4,7,48,31,40,17,2.83,55.35,41.55,32.78,5.19,8.77
5,stade_rennais,24,11,7,6,38,35,40,3,3.12,53.33,35.72,37.06,4.16,-1.34
6,lille,23,11,4,8,36,31,37,5,3.09,54.22,39.71,31.55,5.53,8.16
7,as_monaco,24,11,4,9,40,36,37,4,2.08,52.42,42.58,36.08,5.08,6.5
8,rc_strasbourg,24,10,5,9,40,31,35,9,2.21,51.0,39.37,30.37,4.99,9.0
9,lorient,23,8,8,7,32,36,32,-4,1.96,47.22,31.68,32.53,5.27,-0.85
10,toulouse,24,8,7,9,33,28,31,5,2.62,43.88,33.65,29.74,5.23,3.92
11,stade_brestois,23,8,6,9,31,34,30,-3,2.35,42.87,33.79,32.54,5.18,1.24
12,angers,24,8,5,11,22,30,29,-8,2.33,44.29,23.33,38.37,4.31,-15.04
13,le_havre,24,6,8,10,20,30,26,-10,2.08,44.92,27.52,36.64,4.8,-9.12
14,nice,23,6,6,11,30,43,24,-13,2.35,45.48,30.58,41.14,5.8,-10.56
15,paris_fc,23,5,8,10,27,40,23,-13,2.17,53.83,28.07,40.75,5.7,-12.67
16,auxerre,23,4,5,14,17,33,17,-16,3.09,47.0,25.25,33.02,4.64,-7.77
17,nantes,23,4,5,14,22,40,17,-18,1.57,46.04,23.94,35.66,4.37,-11.73
18,metz,23,3,4,16,22,52,13,-30,2.22,48.91,22.91,43.68,4.97,-20.78
