rank,team,played,won,drawn,lost,goals_for,goals_against,points,goal_difference,average_corners,average_possession,expected_goals_for,expected_goals_against,momentum,expected_goal_difference
1,fc_bayern_münchen,26,21,4,1,93,25,67,68,6.0,66.27,76.04,29.74,4.88,46.3
2,borussia_dortmund,26,17,7,2,55,26,58,29,5.5,53.35,47.82,30.93,5.63,16.9
3,tsg_hoffenheim,26,15,5,6,54,34,50,20,5.73,54.73,44.18,39.81,5.31,4.37
4,vfb_stuttgart,25,14,5,6,50,34,47,16,5.4,58.48,42.39,36.87,4.49,5.52
5,rb_leipzig,25,14,5,6,48,34,47,14,5.52,54.08,50.45,37.48,4.24,12.97
6,bayer_04_leverkusen,26,13,6,7,49,33,45,16,5.04,59.27,45.78,32.59,4.94,13.19
7,eintracht_frankfurt,26,10,8,8,49,49,38,0,4.35,54.12,34.14,35.75,3.38,-1.61
8,sc_freiburg,25,9,7,9,37,42,34,-5,4.48,47.48,38.72,33.93,5.75,4.79
9,fc_augsburg,26,9,4,13,31,45,31,-14,4.69,45.58,32.84,47.52,4.68,-14.68
10,hamburger_sv,26,7,9,10,29,37,30,-8,3.65,46.73,31.52,42.78,4.42,-11.26
11,1._fc_union_berlin,25,7,7,11,30,42,28,-12,5.04,38.52,33.48,35.61,5.18,-2.13
12,borussia_m'gladbach,26,7,7,12,30,43,28,-13,4.19,45.65,33.75,39.28,5.26,-5.53
13,1._fc_köln,26,6,7,13,35,44,25,-9,4.65,47.08,36.55,42.86,4.59,-6.31
14,sv_werder_bremen,25,6,7,12,29,45,25,-16,4.48,51.96,32.85,39.26,4.75,-6.41
15,1._fsv_mainz_05,25,5,9,11,29,41,24,-12,5.08,44.0,37.25,44.7,5.27,-7.45
16,fc_st._pauli,26,6,6,14,23,42,24,-19,4.58,44.69,23.85,40.01,5.82,-16.16
17,vfl_wolfsburg,26,5,6,15,35,56,21,-21,3.85,45.65,34.13,49.46,5.99,-15.33
18,1._fc_heidenheim,26,3,5,18,24,58,14,-34,4.65,42.15,34.36,51.52,5.4,-17.16
