rank,team,played,won,drawn,lost,goals_for,goals_against,points,goal_difference,average_corners,average_possession,expected_goals_for,expected_goals_against,momentum,expected_goal_difference
1,barcelona,27,22,1,4,72,26,67,46,7.41,69.22,69.06,34.76,4.98,34.3
2,real_madrid,27,20,3,4,56,23,63,33,6.56,59.85,60.88,30.28,5.17,30.6
3,atlético_madrid,27,16,6,5,46,25,54,21,6.78,55.04,43.36,29.57,4.79,13.79
4,villarreal,27,17,3,7,50,32,54,18,4.0,43.56,43.06,34.53,5.1,8.53
5,real_betis,27,11,10,6,42,34,43,8,4.59,49.74,42.07,32.68,4.55,9.39
6,celta_vigo,27,10,10,7,37,30,40,7,4.15,50.48,37.45,31.94,4.61,5.51
7,espanyol,27,10,7,10,34,40,37,-6,4.41,42.48,35.95,37.99,5.69,-2.04
8,real_sociedad,27,9,8,10,40,41,35,-1,5.74,49.78,37.67,39.71,5.45,-2.05
9,getafe,27,10,5,12,23,29,35,-6,4.37,40.19,20.14,28.87,5.44,-8.73
10,athletic_club,27,10,5,12,30,37,35,-7,5.26,48.85,39.21,30.77,4.28,8.44
11,osasuna,27,9,7,11,32,32,34,0,3.37,45.0,31.62,36.67,5.07,-5.05
12,valencia,27,8,8,11,30,41,32,-11,5.19,49.22,34.4,35.33,4.97,-0.93
13,rayo_vallecano,27,7,10,10,27,33,31,-6,5.81,53.85,36.66,34.86,4.75,1.8
14,sevilla,27,8,7,12,35,42,31,-7,4.96,53.67,29.55,43.36,5.32,-13.81
15,girona_fc,27,7,10,10,28,43,31,-15,4.22,49.81,35.64,43.29,4.69,-7.65
16,deportivo_alavés,27,7,6,14,25,37,27,-12,4.96,50.52,33.7,36.45,4.53,-2.76
17,elche,27,5,11,11,35,41,26,-6,3.7,59.0,31.96,49.36,5.16,-17.4
18,mallorca,27,6,7,14,31,44,25,-13,3.3,44.04,29.92,46.4,5.56,-16.48
19,levante_ud,27,5,7,15,29,45,22,-16,3.67,41.74,33.18,48.01,5.98,-14.84
20,real_oviedo,27,3,9,15,17,44,18,-27,3.93,43.96,25.63,46.26,3.92,-20.63
