player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,xgot,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Yoane Wissa', 'slug': 'yoane-wissa', 'shortName': 'Y. Wissa', 'position': 'F', 'jerseyNumber': '9', 'userCount': 50294, 'gender': 'M', 'sofascoreId': 'yowissa', 'id': 805123, 'fieldTranslations': {'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}}",True,miss,corner,"{'x': 12.2, 'y': 49.7, 'z': 0}",right-foot,left,"{'x': 0, 'y': 67.9, 'z': 23.6}","{'x': 4.6, 'y': 41.9, 'z': 0}",0.10179297626019,0.0,4211852,63,3737,"{'start': {'x': 49.7, 'y': 12.2}, 'block': {'x': 41.9, 'y': 4.6}, 'end': {'x': 32.1, 'y': 0}, 'goal': {'x': 32.1, 'y': 76.4}}",28,1663,1037,shot,
"{'name': 'Gabriel Jesus', 'slug': 'gabriel-jesus', 'shortName': 'G. Jesus', 'position': 'F', 'jerseyNumber': '9', 'userCount': 74379, 'gender': 'M', 'sofascoreId': 'GabrielJesus', 'id': 794839, 'fieldTranslations': {'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}}",False,miss,fast-break,"{'x': 9.5, 'y': 40.4, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.3, 'z': 4.2}",,0.22945526242256,0.0,4211849,60,3567,"{'start': {'x': 40.4, 'y': 9.5}, 'end': {'x': 41.7, 'y': 0}, 'goal': {'x': 41.7, 'y': 95.8}}",31,1833,867,shot,
"{'name': 'Mikel Merino', 'slug': 'mikel-merino', 'shortName': 'M. Merino', 'position': 'M', 'jerseyNumber': '23', 'userCount': 29243, 'gender': 'M', 'sofascoreId': 'mikelmerino', 'id': 592010, 'fieldTranslations': {'nameTranslation': {'ar': 'ميكيل ميرينو', 'hi': 'मिकेल मेरिनो', 'bn': 'মাইকেল মেরিনো'}, 'shortNameTranslation': {'ar': 'م. ميرينو', 'hi': 'एम. मेरिनो', 'bn': 'এম. মেরিনো'}}}",False,miss,assisted,"{'x': 13, 'y': 47.4, 'z': 0}",right-foot,left,"{'x': 0, 'y': 76.6, 'z': 6.9}","{'x': 3.7, 'y': 32.1, 'z': 0}",0.087949126958847,0.0,4211851,57,3385,"{'start': {'x': 47.4, 'y': 13}, 'block': {'x': 32.1, 'y': 3.7}, 'end': {'x': 23.4, 'y': 0}, 'goal': {'x': 23.4, 'y': 93.1}}",34,2015,685,shot,
"{'name': 'Gabriel Martinelli', 'slug': 'gabriel-martinelli', 'shortName': 'G. Martinelli', 'position': 'F', 'jerseyNumber': '11', 'userCount': 68850, 'gender': 'M', 'sofascoreId': 'GabiMartinelli', 'id': 922573, 'fieldTranslations': {'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}}",False,goal,regular,"{'x': 11.8, 'y': 41.3, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.1, 'z': 14.6}",,0.17300382256508,0.88408863544464,4211842,53,3146,"{'start': {'x': 41.3, 'y': 11.8}, 'end': {'x': 53.9, 'y': 0}, 'goal': {'x': 53.9, 'y': 85.4}}",38,2254,446,shot,regular
"{'name': 'Mikel Merino', 'slug': 'mikel-merino', 'shortName': 'M. Merino', 'position': 'M', 'jerseyNumber': '23', 'userCount': 29243, 'gender': 'M', 'sofascoreId': 'mikelmerino', 'id': 592010, 'fieldTranslations': {'nameTranslation': {'ar': 'ميكيل ميرينو', 'hi': 'मिकेल मेरिनो', 'bn': 'মাইকেল মেরিনো'}, 'shortNameTranslation': {'ar': 'م. ميرينو', 'hi': 'एम. मेरिनो', 'bn': 'এম. মেরিনো'}}}",False,goal,corner,"{'x': 2.5, 'y': 52.6, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52, 'z': 19}",,0.47257155179977,0.97765004634857,4211837,50,2958,"{'start': {'x': 52.6, 'y': 2.5}, 'end': {'x': 48, 'y': 0}, 'goal': {'x': 48, 'y': 81}}",41,2442,258,shot,regular
"{'name': 'Gabriel Jesus', 'slug': 'gabriel-jesus', 'shortName': 'G. Jesus', 'position': 'F', 'jerseyNumber': '9', 'userCount': 74379, 'gender': 'M', 'sofascoreId': 'GabrielJesus', 'id': 794839, 'fieldTranslations': {'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}}",False,save,corner,"{'x': 7.9, 'y': 47.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 19}","{'x': 1.6, 'y': 48.2, 'z': 0}",0.085453659296036,0.0,4211838,50,2956,"{'start': {'x': 47.4, 'y': 7.9}, 'block': {'x': 48.2, 'y': 1.6}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 81}}",41,2444,256,shot,
"{'name': 'Gabriel Martinelli', 'slug': 'gabriel-martinelli', 'shortName': 'G. Martinelli', 'position': 'F', 'jerseyNumber': '11', 'userCount': 68850, 'gender': 'M', 'sofascoreId': 'GabiMartinelli', 'id': 922573, 'fieldTranslations': {'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}}",False,block,assisted,"{'x': 10.4, 'y': 60, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.3, 'z': 19}","{'x': 8.5, 'y': 58.1, 'z': 0}",0.023656154051423,0.0,4211767,40,2342,"{'start': {'x': 60, 'y': 10.4}, 'block': {'x': 58.1, 'y': 8.5}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 81}}",6,358,2342,shot,
"{'name': 'Thomas Partey', 'firstName': '', 'lastName': '', 'slug': 'thomas-partey', 'shortName': 'T. Partey', 'position': 'M', 'jerseyNumber': '16', 'userCount': 42524, 'gender': 'M', 'sofascoreId': 'TPartey5', 'id': 316148, 'fieldTranslations': {'nameTranslation': {'ar': 'توماس بارتي', 'hi': 'थॉमस पार्टी', 'bn': 'টমাস পার্টি'}, 'shortNameTranslation': {'ar': 'ت. بارتي', 'hi': 'टी. पार्टी', 'bn': 'টি. পার্টি'}}}",False,block,assisted,"{'x': 15.3, 'y': 47.4, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.9, 'z': 19}","{'x': 6.3, 'y': 50.7, 'z': 0}",0.043542120605707,0.0,4211762,35,2074,"{'start': {'x': 47.4, 'y': 15.3}, 'block': {'x': 50.7, 'y': 6.3}, 'end': {'x': 53.1, 'y': 0}, 'goal': {'x': 53.1, 'y': 81}}",11,626,2074,shot,
"{'name': 'Yoane Wissa', 'slug': 'yoane-wissa', 'shortName': 'Y. Wissa', 'position': 'F', 'jerseyNumber': '9', 'userCount': 50294, 'gender': 'M', 'sofascoreId': 'yowissa', 'id': 805123, 'fieldTranslations': {'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}}",True,miss,fast-break,"{'x': 70.3, 'y': 68.8, 'z': 0}",right-foot,right,"{'x': 0, 'y': 28.9, 'z': 6.9}",,0.075821623206139,0.0,4211760,32,1896,"{'start': {'x': 68.8, 'y': 70.3}, 'end': {'x': 71.1, 'y': 0}, 'goal': {'x': 71.1, 'y': 93.1}}",14,804,1896,shot,
"{'name': 'Gabriel Jesus', 'slug': 'gabriel-jesus', 'shortName': 'G. Jesus', 'position': 'F', 'jerseyNumber': '9', 'userCount': 74379, 'gender': 'M', 'sofascoreId': 'GabrielJesus', 'id': 794839, 'fieldTranslations': {'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}}",False,goal,regular,"{'x': 5.4, 'y': 52.8, 'z': 0}",head,high-centre,"{'x': 0, 'y': 49.4, 'z': 22.8}",,0.46713173389435,0.67163896560669,4211757,29,1703,"{'start': {'x': 52.8, 'y': 5.4}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 77.2}}",17,997,1703,shot,regular
